mid	pageviews	entity_name	wiki_url	valid
/m/02y21l	9504	Sire_Records	https://en.wikipedia.org/wiki/Sire_Records	1
/m/02gyl0	10199	Theodore_Bikel	https://en.wikipedia.org/wiki/Theodore_Bikel	1
/m/01zsfx	9030	Bulawayo	https://en.wikipedia.org/wiki/Bulawayo	1
/m/06lq2g	10781	Chill-out_music	https://en.wikipedia.org/wiki/Chill-out_music	1
/m/01qzt1	10394	Classic_rock	https://en.wikipedia.org/wiki/Classic_rock	1
/m/075q_	77727	S.S._Lazio	https://en.wikipedia.org/wiki/S.S._Lazio	1
/m/01xpxv	280459	Pat_Morita	https://en.wikipedia.org/wiki/Pat_Morita	1
/m/03ydlnj	14309	The_Boat_That_Rocked	https://en.wikipedia.org/wiki/The_Boat_That_Rocked	1
/m/0ngg	0			0
/m/0193qj	82529	Empire_of_Japan	https://en.wikipedia.org/wiki/Empire_of_Japan	1
/m/049wm	8075	Kagoshima	https://en.wikipedia.org/wiki/Kagoshima	1
/m/03w9bjf	15986	British_Indians	https://en.wikipedia.org/wiki/British_Indians	1
/m/011xg5	55978	A.I._Artificial_Intelligence	https://en.wikipedia.org/wiki/A.I._Artificial_Intelligence	1
/m/025n3p	288862	Vin_Diesel	https://en.wikipedia.org/wiki/Vin_Diesel	1
/m/01yb1y	30949	WWE_SmackDown	https://en.wikipedia.org/wiki/WWE_SmackDown	1
/m/0cq8nx	24238	Mrs._Miniver	https://en.wikipedia.org/wiki/Mrs._Miniver	1
/m/03f2w	122648	East_Germany	https://en.wikipedia.org/wiki/East_Germany	1
/m/0fwdr	17802	Metz	https://en.wikipedia.org/wiki/Metz	1
/m/01rly6	72026	Blackburn_Rovers_F.C.	https://en.wikipedia.org/wiki/Blackburn_Rovers_F.C.	1
/m/01g2q	216118	Bipolar_disorder	https://en.wikipedia.org/wiki/Bipolar_disorder	1
/m/0nv6n	3956	McHenry_County_Illinois	https://en.wikipedia.org/wiki/McHenry_County_Illinois	1
/m/027jq2	13376	Emir_Kusturica	https://en.wikipedia.org/wiki/Emir_Kusturica	1
/m/072zl1	120380	Pride_&_Prejudice_(2005_film)	https://en.wikipedia.org/wiki/Pride_&_Prejudice_(2005_film)	1
/m/03cglm	87240	Ted_Levine	https://en.wikipedia.org/wiki/Ted_Levine	1
/m/02g1jh	9229	David_Arnold	https://en.wikipedia.org/wiki/David_Arnold	1
/m/07lly	13545	Truro	https://en.wikipedia.org/wiki/Truro	1
/m/0bq6ntw	68562	Fast_Five	https://en.wikipedia.org/wiki/Fast_Five	1
/m/08p1gp	10963	Luci_Christian	https://en.wikipedia.org/wiki/Luci_Christian	1
/m/03nfnx	39693	Shrek_the_Third	https://en.wikipedia.org/wiki/Shrek_the_Third	1
/m/0sb1r	9565	Lake_Forest_Illinois	https://en.wikipedia.org/wiki/Lake_Forest_Illinois	1
/m/0fbdb	0			0
/m/019g40	29609	Omarion	https://en.wikipedia.org/wiki/Omarion	1
/m/016t_3	0			0
/m/0tt6k	7965	Cumberland_Maryland	https://en.wikipedia.org/wiki/Cumberland_Maryland	1
/m/0y3_8	58345	Synth-pop	https://en.wikipedia.org/wiki/Synth-pop	1
/m/0tyww	5794	Taunton_Massachusetts	https://en.wikipedia.org/wiki/Taunton_Massachusetts	1
/m/05wm88	150437	Tyler_Perry	https://en.wikipedia.org/wiki/Tyler_Perry	1
/m/02rgz97	1928	Mark_Irwin	https://en.wikipedia.org/wiki/Mark_Irwin	1
/m/0707q	0			0
/m/074j87	6255	Impact!_(TV_series)	https://en.wikipedia.org/wiki/Impact!_(TV_series)	1
/m/02rc451	5974	1994_Major_League_Baseball_season	https://en.wikipedia.org/wiki/1994_Major_League_Baseball_season	1
/m/03c602	10960	Alejandro_Sanz	https://en.wikipedia.org/wiki/Alejandro_Sanz	1
/m/03f_s3	6163	Mechanic	https://en.wikipedia.org/wiki/Mechanic	1
/m/04ngn	29086	Luton_Town_F.C.	https://en.wikipedia.org/wiki/Luton_Town_F.C.	1
/m/0cq86w	22908	Oliver!_(film)	https://en.wikipedia.org/wiki/Oliver!_(film)	1
/m/0b_6pv	1280	1987_NCAA_Division_I_Men's_Basketball_Tournament	https://en.wikipedia.org/wiki/1987_NCAA_Division_I_Men's_Basketball_Tournament	1
/m/0blt6	100144	David_Duchovny	https://en.wikipedia.org/wiki/David_Duchovny	1
/m/02t0n9	38104	Larry_Fine	https://en.wikipedia.org/wiki/Larry_Fine	1
/m/028knk	93609	Annette_Bening	https://en.wikipedia.org/wiki/Annette_Bening	1
/m/0c3dzk	299	Tony_Gaudio	https://en.wikipedia.org/wiki/Tony_Gaudio	1
/m/03q3sy	119564	Michael_Cera	https://en.wikipedia.org/wiki/Michael_Cera	1
/m/0167v	133819	Brunei	https://en.wikipedia.org/wiki/Brunei	1
/m/0yl_j	4423	Keble_College_Oxford	https://en.wikipedia.org/wiki/Keble_College_Oxford	1
/m/07t3x8	75875	Raj_Babbar	https://en.wikipedia.org/wiki/Raj_Babbar	1
/m/01l9p	365402	Charlize_Theron	https://en.wikipedia.org/wiki/Charlize_Theron	1
/m/03ywyk	91063	Cheryl_Hines	https://en.wikipedia.org/wiki/Cheryl_Hines	1
/m/07myb2	105018	Kerry_Washington	https://en.wikipedia.org/wiki/Kerry_Washington	1
/m/0248jb	1276	Grammy_Award_for_Best_Traditional_Blues_Album	https://en.wikipedia.org/wiki/Grammy_Award_for_Best_Traditional_Blues_Album	1
/m/02t_h3	60687	Shaun_of_the_Dead	https://en.wikipedia.org/wiki/Shaun_of_the_Dead	1
/m/0chghy	570634	Australia	https://en.wikipedia.org/wiki/Australia	1
/m/02pbrn	10263	McCoy_Tyner	https://en.wikipedia.org/wiki/McCoy_Tyner	1
/m/018ygt	322771	Alec_Baldwin	https://en.wikipedia.org/wiki/Alec_Baldwin	1
/m/0cpllql	22790	Star_Wars:_The_Clone_Wars_(film)	https://en.wikipedia.org/wiki/Star_Wars:_The_Clone_Wars_(film)	1
/m/02qlkc3	0			0
/m/03rj0	225864	Iceland	https://en.wikipedia.org/wiki/Iceland	1
/m/0_678	13270	Tactical_shooter	https://en.wikipedia.org/wiki/Tactical_shooter	1
/m/01wb8bs	22385	Roger_Bart	https://en.wikipedia.org/wiki/Roger_Bart	1
/m/022wxh	13473	Todd_Haynes	https://en.wikipedia.org/wiki/Todd_Haynes	1
/m/04vn5	75631	Miami_Dolphins	https://en.wikipedia.org/wiki/Miami_Dolphins	1
/m/018vs	38817	Bass_guitar	https://en.wikipedia.org/wiki/Bass_guitar	1
/m/04glx0	5756	Hallmark_Hall_of_Fame	https://en.wikipedia.org/wiki/Hallmark_Hall_of_Fame	1
/m/017_1x	37510	Molde_FK	https://en.wikipedia.org/wiki/Molde_FK	1
/m/02wmy	94244	Falkland_Islands	https://en.wikipedia.org/wiki/Falkland_Islands	1
/m/02rxrh	79238	Scotland_national_football_team	https://en.wikipedia.org/wiki/Scotland_national_football_team	1
/m/027cyf7	914	National_Board_of_Review_Award_for_Best_Cast	https://en.wikipedia.org/wiki/National_Board_of_Review_Award_for_Best_Cast	1
/m/02qjpv5	11571	Mark_Gordon	https://en.wikipedia.org/wiki/Mark_Gordon	1
/m/01xq0k1	100560	Cattle	https://en.wikipedia.org/wiki/Cattle	1
/m/0167bx	0			0
/m/04gp1d	0			0
/m/012d9h	33884	Inverness	https://en.wikipedia.org/wiki/Inverness	1
/m/0kc9f	65399	Disney_Channel	https://en.wikipedia.org/wiki/Disney_Channel	1
/m/02lvtb	38031	Andy_Williams	https://en.wikipedia.org/wiki/Andy_Williams	1
/m/0f4vx0	36670	2007_NBA_draft	https://en.wikipedia.org/wiki/2007_NBA_draft	1
/m/019bk0	2441	45th_Annual_Grammy_Awards	https://en.wikipedia.org/wiki/45th_Annual_Grammy_Awards	1
/m/01vsnff	321261	Jack_White	https://en.wikipedia.org/wiki/Jack_White	1
/m/0ym4t	6454	Oriel_College_Oxford	https://en.wikipedia.org/wiki/Oriel_College_Oxford	1
/m/059_w	0			0
/m/0320jz	178334	Jessica_Biel	https://en.wikipedia.org/wiki/Jessica_Biel	1
/m/0841zn	559	Lars_Hirschfeld	https://en.wikipedia.org/wiki/Lars_Hirschfeld	1
/m/015401	4619	University_of_Tehran	https://en.wikipedia.org/wiki/University_of_Tehran	1
/m/02wszf	2889	Infielder	https://en.wikipedia.org/wiki/Infielder	1
/m/015whm	22332	Being_There	https://en.wikipedia.org/wiki/Being_There	1
/m/02b1l7	15403	Morecambe_F.C.	https://en.wikipedia.org/wiki/Morecambe_F.C.	1
/m/04cwcdb	3340	Podlaskie_Voivodeship	https://en.wikipedia.org/wiki/Podlaskie_Voivodeship	1
/m/0nj0m	6266	Washtenaw_County_Michigan	https://en.wikipedia.org/wiki/Washtenaw_County_Michigan	1
/m/016h5l	4868	Kensal_Green_Cemetery	https://en.wikipedia.org/wiki/Kensal_Green_Cemetery	1
/m/09sxqk	2590	Worcester_City_F.C.	https://en.wikipedia.org/wiki/Worcester_City_F.C.	1
/m/096gm	54074	Bucharest	https://en.wikipedia.org/wiki/Bucharest	1
/m/06wm0z	328356	Zac_Efron	https://en.wikipedia.org/wiki/Zac_Efron	1
/m/014dsx	30237	Travel	https://en.wikipedia.org/wiki/Travel	1
/m/0hbbx	35900	Sichuan	https://en.wikipedia.org/wiki/Sichuan	1
/m/037s5h	91947	Lee_Majors	https://en.wikipedia.org/wiki/Lee_Majors	1
/m/04w1j9	2994	Edward_R._Pressman	https://en.wikipedia.org/wiki/Edward_R._Pressman	1
/m/0dly0	13718	Perugia	https://en.wikipedia.org/wiki/Perugia	1
/m/0gy7bj4	42159	Anna_Karenina_(2012_film)	https://en.wikipedia.org/wiki/Anna_Karenina_(2012_film)	1
/m/0b1s_q	17264	David_Crane_(producer)	https://en.wikipedia.org/wiki/David_Crane_(producer)	1
/m/0lzp	0			0
/m/0k3hn	10835	Essex_County_Massachusetts	https://en.wikipedia.org/wiki/Essex_County_Massachusetts	1
/m/0btmb	35052	Superhero	https://en.wikipedia.org/wiki/Superhero	1
/m/0bpm4yw	155779	The_Dark_Knight_Rises	https://en.wikipedia.org/wiki/The_Dark_Knight_Rises	1
